,ts,temp,new_point
118,2023-03-08T06:55:00+04:00 Dubai,23.374847412109375°C,31.79%
119,2023-03-08T07:00:00+04:00 Dubai,23.374847412109375°C,31.79%
120,2023-03-08T07:05:00+04:00 Dubai,23.374847412109375°C,31.79%
121,2023-03-08T07:10:00+04:00 Dubai,23.374847412109375°C,31.79%
122,2023-03-08T07:15:00+04:00 Dubai,23.374847412109375°C,31.79%
123,2023-03-08T07:20:00+04:00 Dubai,23.374847412109375°C,31.79%
124,2023-03-08T07:25:00+04:00 Dubai,23.374847412109375°C,31.79%
125,2023-03-08T07:30:00+04:00 Dubai,23.374847412109375°C,31.79%
126,2023-03-08T07:35:00+04:00 Dubai,23.374847412109375°C,31.79%
127,2023-03-08T07:40:00+04:00 Dubai,23.374847412109375°C,31.79%
128,2023-03-08T07:45:00+04:00 Dubai,23.374847412109375°C,31.79%
129,2023-03-08T07:50:00+04:00 Dubai,23.374847412109375°C,31.79%
130,2023-03-08T07:55:00+04:00 Dubai,23.374847412109375°C,31.79%
131,2023-03-08T08:00:00+04:00 Dubai,23.374847412109375°C,32.89%
132,2023-03-08T08:05:00+04:00 Dubai,23.525197982788086°C,33.98%
133,2023-03-08T08:10:00+04:00 Dubai,23.525197982788086°C,35.22%
134,2023-03-08T08:15:00+04:00 Dubai,23.525197982788086°C,36.53%
135,2023-03-08T08:20:00+04:00 Dubai,23.525197982788086°C,35.03%
136,2023-03-08T08:25:00+04:00 Dubai,23.67486000061035°C,35.03%
137,2023-03-08T08:30:00+04:00 Dubai,23.67486000061035°C,35.03%
138,2023-03-08T08:35:00+04:00 Dubai,23.67486000061035°C,35.03%
139,2023-03-08T08:40:00+04:00 Dubai,23.67486000061035°C,35.03%
140,2023-03-08T08:45:00+04:00 Dubai,23.67486000061035°C,35.03%
141,2023-03-08T08:50:00+04:00 Dubai,23.823959350585938°C,36.18%
142,2023-03-08T08:55:00+04:00 Dubai,23.823959350585938°C,38.45%
143,2023-03-08T09:00:00+04:00 Dubai,23.823959350585938°C,39.72%
144,2023-03-08T09:05:00+04:00 Dubai,23.823959350585938°C,39.74%
145,2023-03-08T09:10:00+04:00 Dubai,23.823959350585938°C,39.74%
146,2023-03-08T09:15:00+04:00 Dubai,23.972896575927734°C,39.74%
147,2023-03-08T09:20:00+04:00 Dubai,23.972896575927734°C,39.74%
148,2023-03-08T09:25:00+04:00 Dubai,23.972896575927734°C,39.74%
149,2023-03-08T09:30:00+04:00 Dubai,24.121675491333008°C,39.74%
150,2023-03-08T09:35:00+04:00 Dubai,24.121675491333008°C,39.74%
151,2023-03-08T09:40:00+04:00 Dubai,24.121675491333008°C,39.74%
152,2023-03-08T09:45:00+04:00 Dubai,24.121675491333008°C,40.77%
153,2023-03-08T09:50:00+04:00 Dubai,24.121675491333008°C,43.33%
154,2023-03-08T09:55:00+04:00 Dubai,24.121675491333008°C,44.82%
155,2023-03-08T10:00:00+04:00 Dubai,24.121675491333008°C,43.74%
156,2023-03-08T10:05:00+04:00 Dubai,24.121675491333008°C,43.74%
157,2023-03-08T10:10:00+04:00 Dubai,24.121675491333008°C,44.92%
158,2023-03-08T10:15:00+04:00 Dubai,24.121675491333008°C,46.18%
159,2023-03-08T10:20:00+04:00 Dubai,24.27035140991211°C,48.59%
160,2023-03-08T10:25:00+04:00 Dubai,24.27035140991211°C,49.97%
