ds,yhat
2023-03-12T00:05:00+0000 Dubai,23.327978
2023-03-12T00:10:00+0000 Dubai,23.327978
2023-03-12T00:15:00+0000 Dubai,23.327978
2023-03-12T00:20:00+0000 Dubai,23.327978
2023-03-12T00:25:00+0000 Dubai,23.327978
2023-03-12T00:30:00+0000 Dubai,23.327978
2023-03-12T00:35:00+0000 Dubai,23.327978
2023-03-12T00:40:00+0000 Dubai,23.327978
2023-03-12T00:45:00+0000 Dubai,23.327978
2023-03-12T00:50:00+0000 Dubai,23.327978
2023-03-12T00:55:00+0000 Dubai,23.327978
