ds,y,ds,y
09/03/2023 2:25,35.34,09/03/2023 2:25,32.99847357
09/03/2023 2:30,35.34,09/03/2023 2:30,33.13136839
09/03/2023 2:35,35.34,09/03/2023 2:35,33.26269154
09/03/2023 2:40,35.34,09/03/2023 2:40,33.39161286
09/03/2023 2:45,35.34,09/03/2023 2:45,33.51731873
09/03/2023 2:50,35.34,09/03/2023 2:50,33.63901793
09/03/2023 2:55,35.34,09/03/2023 2:55,33.75594731
09/03/2023 3:00,35.34,09/03/2023 3:00,33.86737745
09/03/2023 3:05,35.34,09/03/2023 3:05,33.97261794
09/03/2023 3:10,35.34,09/03/2023 3:10,34.07102259
09/03/2023 3:15,35.34,09/03/2023 3:15,34.16199423
09/03/2023 3:20,35.34,09/03/2023 3:20,34.24498931
09/03/2023 3:25,35.34,09/03/2023 3:25,34.3195221
09/03/2023 3:30,35.34,09/03/2023 3:30,34.38516849
09/03/2023 3:35,35.34,09/03/2023 3:35,34.44156944
09/03/2023 3:40,35.34,09/03/2023 3:40,34.48843398
09/03/2023 3:45,35.34,09/03/2023 3:45,34.52554172
09/03/2023 3:50,35.34,09/03/2023 3:50,34.55274496
09/03/2023 3:55,35.34,09/03/2023 3:55,34.5699702
09/03/2023 4:00,35.34,09/03/2023 4:00,34.57721927
09/03/2023 4:05,35.34,09/03/2023 4:05,34.57456983
09/03/2023 4:10,35.34,09/03/2023 4:10,34.56217544
09/03/2023 4:15,35.34,09/03/2023 4:15,34.54026502
09/03/2023 4:20,35.34,09/03/2023 4:20,34.50914191
09/03/2023 4:25,35.34,09/03/2023 4:25,34.46918224
09/03/2023 4:30,35.34,09/03/2023 4:30,34.420833
09/03/2023 4:35,35.34,09/03/2023 4:35,34.36460939
09/03/2023 4:40,35.34,09/03/2023 4:40,34.30109191
09/03/2023 4:45,35.34,09/03/2023 4:45,34.23092281
09/03/2023 4:50,35.34,09/03/2023 4:50,34.1548022
09/03/2023 4:55,35.34,09/03/2023 4:55,34.07348373
09/03/2023 5:00,35.34,09/03/2023 5:00,33.98776989
09/03/2023 5:05,35.34,09/03/2023 5:05,33.89850693
09/03/2023 5:10,35.34,09/03/2023 5:10,33.80657947
09/03/2023 5:15,35.34,09/03/2023 5:15,33.7129049
09/03/2023 5:20,35.34,09/03/2023 5:20,33.6184274
09/03/2023 5:25,35.34,09/03/2023 5:25,33.52411191
09/03/2023 5:30,35.34,09/03/2023 5:30,33.43093782
09/03/2023 5:35,35.34,09/03/2023 5:35,33.33989261
09/03/2023 5:40,35.34,09/03/2023 5:40,33.25196539
09/03/2023 5:45,35.34,09/03/2023 5:45,33.16814041
09/03/2023 5:50,35.34,09/03/2023 5:50,33.08939062
09/03/2023 5:55,35.34,09/03/2023 5:55,33.01667121
09/03/2023 6:00,35.34,09/03/2023 6:00,32.95091336
09/03/2023 6:05,35.34,09/03/2023 6:05,32.89301804
09/03/2023 6:10,35.34,09/03/2023 6:10,32.84385007
09/03/2023 6:15,35.34,09/03/2023 6:15,32.80423236
09/03/2023 6:20,35.34,09/03/2023 6:20,32.77494046
09/03/2023 6:25,35.34,09/03/2023 6:25,32.75669738
09/03/2023 6:30,35.34,09/03/2023 6:30,32.75016879
09/03/2023 6:35,35.34,09/03/2023 6:35,32.75595855
09/03/2023 6:40,35.34,09/03/2023 6:40,32.77460471
09/03/2023 6:45,35.34,09/03/2023 6:45,32.80657585
09/03/2023 6:50,35.34,09/03/2023 6:50,32.852268
09/03/2023 6:55,35.34,09/03/2023 6:55,32.91200191
09/03/2023 7:00,35.34,09/03/2023 7:00,32.9860209
09/03/2023 7:05,35.34,09/03/2023 7:05,33.07448918
09/03/2023 7:10,35.34,09/03/2023 7:10,33.17749073
09/03/2023 7:15,35.34,09/03/2023 7:15,33.29502867
09/03/2023 7:20,35.34,09/03/2023 7:20,33.42702514
09/03/2023 7:25,35.34,09/03/2023 7:25,33.57332178
09/03/2023 7:30,35.34,09/03/2023 7:30,33.73368069
09/03/2023 7:35,35.34,09/03/2023 7:35,33.9077859
09/03/2023 7:40,35.34,09/03/2023 7:40,34.09524535
09/03/2023 7:45,35.34,09/03/2023 7:45,34.29559338
09/03/2023 7:50,35.34,09/03/2023 7:50,34.50829367
09/03/2023 7:55,35.34,09/03/2023 7:55,34.73274267
09/03/2023 8:00,35.34,09/03/2023 8:00,34.96827336
09/03/2023 8:05,35.34,09/03/2023 8:05,35.21415953
