ds,y,y
08/03/2023 15:15,24.42118073,24.23376057
08/03/2023 15:20,24.42118073,24.23657366
08/03/2023 15:25,24.42118073,24.23903236
08/03/2023 15:30,24.42118073,24.24110227
08/03/2023 15:35,24.42118073,24.24275017
08/03/2023 15:40,24.42118073,24.24394436
08/03/2023 15:45,24.42118073,24.24465487
08/03/2023 15:50,24.42118073,24.24485374
08/03/2023 15:55,24.42118073,24.24451525
08/03/2023 16:00,24.42118073,24.24361614
08/03/2023 16:05,24.42118073,24.24213582
08/03/2023 16:10,24.42118073,24.24005655
08/03/2023 16:15,24.42118073,24.23736365
08/03/2023 16:20,24.42118073,24.23385688
08/03/2023 16:25,24.42118073,24.22971673
08/03/2023 16:30,24.42118073,24.2249384
08/03/2023 16:35,24.42118073,24.21952055
08/03/2023 16:40,24.42118073,24.21346543
08/03/2023 16:45,24.42118073,24.20677882
08/03/2023 16:50,24.42118073,24.19947011
08/03/2023 16:55,24.42118073,24.19155225
08/03/2023 17:00,24.42118073,24.18304171
08/03/2023 17:05,24.42118073,24.17395839
08/03/2023 17:10,24.42118073,24.16432557
08/03/2023 17:15,24.42118073,24.15416976
08/03/2023 17:20,24.42118073,24.14352056
08/03/2023 17:25,24.42118073,24.13241054
08/03/2023 17:30,24.42118073,24.12087498
08/03/2023 17:35,24.42118073,24.10895174
08/03/2023 17:40,24.42118073,24.09668103
08/03/2023 17:45,24.27264214,24.08410512
08/03/2023 17:50,24.27264214,24.07126814
08/03/2023 17:55,24.27264214,24.05821581
08/03/2023 18:00,24.27264214,24.04499516
08/03/2023 18:05,24.12392807,24.03165422
08/03/2023 18:10,24.12392807,24.01824177
08/03/2023 18:15,24.12392807,24.00480701
08/03/2023 18:20,23.97364998,23.99139928
08/03/2023 18:25,23.97364998,23.97806775
08/03/2023 18:30,23.97364998,23.96486113
08/03/2023 18:35,23.97364998,23.95182736
08/03/2023 18:40,23.97364998,23.93901333
08/03/2023 18:45,23.97364998,23.92646459
08/03/2023 18:50,23.97364998,23.91422509
08/03/2023 18:55,23.97364998,23.9023369
08/03/2023 19:00,23.97364998,23.89083998
08/03/2023 19:05,23.97364998,23.87977192
08/03/2023 19:10,23.82451439,23.86916776
08/03/2023 19:15,23.82451439,23.85905976
08/03/2023 19:20,23.82451439,23.84947722
08/03/2023 19:25,23.82451439,23.84044636
