ts,DMC Building 1 Data Quality Tests Dup of AHU_04_B1 Return Air Temp
2023-03-10T21:10:00+04:00 Dubai,24.270183563232422°C
2023-03-10T21:15:00+04:00 Dubai,24.270183563232422°C
2023-03-10T21:20:00+04:00 Dubai,24.270183563232422°C
2023-03-10T21:25:00+04:00 Dubai,24.270183563232422°C
2023-03-10T21:30:00+04:00 Dubai,24.270183563232422°C
2023-03-10T21:35:00+04:00 Dubai,24.270183563232422°C
2023-03-10T21:40:00+04:00 Dubai,24.270183563232422°C
2023-03-10T21:45:00+04:00 Dubai,24.270183563232422°C
2023-03-10T21:50:00+04:00 Dubai,24.270183563232422°C
2023-03-10T21:55:00+04:00 Dubai,24.270183563232422°C
2023-03-10T22:00:00+04:00 Dubai,24.270183563232422°C
2023-03-10T22:05:00+04:00 Dubai,24.270183563232422°C
2023-03-10T22:10:00+04:00 Dubai,24.270183563232422°C
2023-03-10T22:15:00+04:00 Dubai,24.270183563232422°C
2023-03-10T22:20:00+04:00 Dubai,24.270183563232422°C
2023-03-10T22:25:00+04:00 Dubai,24.270183563232422°C
2023-03-10T22:30:00+04:00 Dubai,24.270183563232422°C
2023-03-10T22:35:00+04:00 Dubai,24.270183563232422°C
2023-03-10T22:40:00+04:00 Dubai,24.270183563232422°C
2023-03-10T22:45:00+04:00 Dubai,24.270183563232422°C
2023-03-10T22:50:00+04:00 Dubai,24.270183563232422°C
2023-03-10T22:55:00+04:00 Dubai,24.270183563232422°C
2023-03-10T23:00:00+04:00 Dubai,24.270183563232422°C
2023-03-10T23:05:00+04:00 Dubai,24.121265411376953°C
2023-03-10T23:10:00+04:00 Dubai,24.121265411376953°C
2023-03-10T23:15:00+04:00 Dubai,24.121265411376953°C
2023-03-10T23:20:00+04:00 Dubai,24.121265411376953°C
2023-03-10T23:25:00+04:00 Dubai,24.121265411376953°C
2023-03-10T23:30:00+04:00 Dubai,24.121265411376953°C
2023-03-10T23:35:00+04:00 Dubai,24.121265411376953°C
2023-03-10T23:40:00+04:00 Dubai,24.121265411376953°C
2023-03-10T23:45:00+04:00 Dubai,24.121265411376953°C
2023-03-10T23:50:00+04:00 Dubai,23.971940994262695°C
2023-03-10T23:55:00+04:00 Dubai,23.971940994262695°C
2023-03-11T00:00:00+04:00 Dubai,23.971940994262695°C
2023-03-11T00:05:00+04:00 Dubai,23.971940994262695°C
2023-03-11T00:10:00+04:00 Dubai,23.971940994262695°C
2023-03-11T00:15:00+04:00 Dubai,24.120765686035156°C
2023-03-11T00:20:00+04:00 Dubai,24.120765686035156°C
2023-03-11T00:25:00+04:00 Dubai,24.120765686035156°C
2023-03-11T00:30:00+04:00 Dubai,24.120765686035156°C
2023-03-11T00:35:00+04:00 Dubai,24.120765686035156°C
2023-03-11T00:40:00+04:00 Dubai,24.120765686035156°C
2023-03-11T00:45:00+04:00 Dubai,24.120765686035156°C
2023-03-11T00:50:00+04:00 Dubai,24.120765686035156°C
2023-03-11T00:55:00+04:00 Dubai,24.120765686035156°C
2023-03-11T01:00:00+04:00 Dubai,24.120765686035156°C
2023-03-11T01:05:00+04:00 Dubai,24.120765686035156°C
2023-03-11T01:10:00+04:00 Dubai,24.120765686035156°C
2023-03-11T01:15:00+04:00 Dubai,24.120765686035156°C
2023-03-11T01:20:00+04:00 Dubai,24.120765686035156°C
2023-03-11T01:25:00+04:00 Dubai,24.120765686035156°C
2023-03-11T01:30:00+04:00 Dubai,24.120765686035156°C
2023-03-11T01:35:00+04:00 Dubai,24.269920349121094°C
2023-03-11T01:40:00+04:00 Dubai,24.269920349121094°C
2023-03-11T01:45:00+04:00 Dubai,24.269920349121094°C
2023-03-11T01:50:00+04:00 Dubai,24.269920349121094°C
2023-03-11T01:55:00+04:00 Dubai,24.269920349121094°C
2023-03-11T02:00:00+04:00 Dubai,24.269920349121094°C
2023-03-11T02:05:00+04:00 Dubai,24.269920349121094°C
2023-03-11T02:10:00+04:00 Dubai,24.269920349121094°C
2023-03-11T02:15:00+04:00 Dubai,24.269920349121094°C
2023-03-11T02:20:00+04:00 Dubai,24.269920349121094°C
2023-03-11T02:25:00+04:00 Dubai,24.269920349121094°C
2023-03-11T02:30:00+04:00 Dubai,24.269920349121094°C
2023-03-11T02:35:00+04:00 Dubai,24.269920349121094°C
2023-03-11T02:40:00+04:00 Dubai,24.269920349121094°C
2023-03-11T02:45:00+04:00 Dubai,24.269920349121094°C
2023-03-11T02:50:00+04:00 Dubai,24.269920349121094°C
2023-03-11T02:55:00+04:00 Dubai,24.269920349121094°C
2023-03-11T03:00:00+04:00 Dubai,24.269920349121094°C
2023-03-11T03:05:00+04:00 Dubai,24.269920349121094°C
2023-03-11T03:10:00+04:00 Dubai,24.269920349121094°C
2023-03-11T03:15:00+04:00 Dubai,24.269920349121094°C
2023-03-11T03:20:00+04:00 Dubai,24.269920349121094°C
2023-03-11T03:25:00+04:00 Dubai,24.269920349121094°C
2023-03-11T03:30:00+04:00 Dubai,24.269920349121094°C
2023-03-11T03:35:00+04:00 Dubai,24.269920349121094°C
2023-03-11T03:40:00+04:00 Dubai,24.269920349121094°C
2023-03-11T03:45:00+04:00 Dubai,24.269920349121094°C
2023-03-11T03:50:00+04:00 Dubai,24.269920349121094°C
2023-03-11T03:55:00+04:00 Dubai,24.269920349121094°C
2023-03-11T04:00:00+04:00 Dubai,24.269920349121094°C
2023-03-11T04:05:00+04:00 Dubai,24.269920349121094°C
2023-03-11T04:10:00+04:00 Dubai,24.269920349121094°C
2023-03-11T04:15:00+04:00 Dubai,24.269920349121094°C
2023-03-11T04:20:00+04:00 Dubai,24.269920349121094°C
2023-03-11T04:25:00+04:00 Dubai,24.269920349121094°C
2023-03-11T04:30:00+04:00 Dubai,24.269920349121094°C
2023-03-11T04:35:00+04:00 Dubai,24.269920349121094°C
2023-03-11T04:40:00+04:00 Dubai,24.269920349121094°C
2023-03-11T04:45:00+04:00 Dubai,24.269920349121094°C
2023-03-11T04:50:00+04:00 Dubai,24.269920349121094°C
2023-03-11T04:55:00+04:00 Dubai,24.269920349121094°C
2023-03-11T05:00:00+04:00 Dubai,24.269920349121094°C
2023-03-11T05:05:00+04:00 Dubai,24.269920349121094°C
2023-03-11T05:10:00+04:00 Dubai,24.269920349121094°C
2023-03-11T05:15:00+04:00 Dubai,24.269920349121094°C
2023-03-11T05:20:00+04:00 Dubai,24.269920349121094°C
2023-03-11T05:25:00+04:00 Dubai,24.269920349121094°C
2023-03-11T05:30:00+04:00 Dubai,24.269920349121094°C
2023-03-11T05:35:00+04:00 Dubai,24.269920349121094°C
2023-03-11T05:40:00+04:00 Dubai,24.269920349121094°C
2023-03-11T05:45:00+04:00 Dubai,24.269920349121094°C
2023-03-11T05:50:00+04:00 Dubai,24.269920349121094°C
2023-03-11T05:55:00+04:00 Dubai,24.269920349121094°C
2023-03-11T06:00:00+04:00 Dubai,24.269920349121094°C
2023-03-11T06:05:00+04:00 Dubai,24.269920349121094°C
2023-03-11T06:10:00+04:00 Dubai,24.269920349121094°C
2023-03-11T06:15:00+04:00 Dubai,24.120990753173828°C
2023-03-11T06:20:00+04:00 Dubai,24.120990753173828°C
2023-03-11T06:25:00+04:00 Dubai,24.120990753173828°C
2023-03-11T06:30:00+04:00 Dubai,24.120990753173828°C
2023-03-11T06:35:00+04:00 Dubai,24.120990753173828°C
2023-03-11T06:40:00+04:00 Dubai,24.120990753173828°C
2023-03-11T06:45:00+04:00 Dubai,23.971641540527344°C
2023-03-11T06:50:00+04:00 Dubai,23.971641540527344°C
2023-03-11T06:55:00+04:00 Dubai,23.971641540527344°C
2023-03-11T07:00:00+04:00 Dubai,23.971641540527344°C
2023-03-11T07:05:00+04:00 Dubai,23.971641540527344°C
2023-03-11T07:10:00+04:00 Dubai,23.971641540527344°C
2023-03-11T07:15:00+04:00 Dubai,23.971641540527344°C
2023-03-11T07:20:00+04:00 Dubai,23.971641540527344°C
2023-03-11T07:25:00+04:00 Dubai,23.971641540527344°C
2023-03-11T07:30:00+04:00 Dubai,23.971641540527344°C
2023-03-11T07:35:00+04:00 Dubai,23.971641540527344°C
2023-03-11T07:40:00+04:00 Dubai,23.971641540527344°C
2023-03-11T07:45:00+04:00 Dubai,23.971641540527344°C
2023-03-11T07:50:00+04:00 Dubai,23.971641540527344°C
2023-03-11T07:55:00+04:00 Dubai,23.971641540527344°C
2023-03-11T08:00:00+04:00 Dubai,23.971641540527344°C
2023-03-11T08:05:00+04:00 Dubai,23.971641540527344°C
2023-03-11T08:10:00+04:00 Dubai,23.971641540527344°C
2023-03-11T08:15:00+04:00 Dubai,23.971641540527344°C
2023-03-11T08:20:00+04:00 Dubai,23.971641540527344°C
