ts,DMC Building 1 Data Quality Tests Dup of AHU_04_B1 Return Air Temp
2023-03-08T08:00:00+04:00 Dubai,23.374847412109375°C
2023-03-08T08:05:00+04:00 Dubai,23.525197982788086°C
2023-03-08T08:10:00+04:00 Dubai,23.525197982788086°C
2023-03-08T08:15:00+04:00 Dubai,23.525197982788086°C
2023-03-08T08:20:00+04:00 Dubai,23.525197982788086°C
2023-03-08T08:25:00+04:00 Dubai,23.67486000061035°C
2023-03-08T08:30:00+04:00 Dubai,23.67486000061035°C
2023-03-08T08:35:00+04:00 Dubai,23.67486000061035°C
2023-03-08T08:40:00+04:00 Dubai,23.67486000061035°C
2023-03-08T08:45:00+04:00 Dubai,23.67486000061035°C
2023-03-08T08:50:00+04:00 Dubai,23.823959350585938°C
2023-03-08T08:55:00+04:00 Dubai,23.823959350585938°C
2023-03-08T09:00:00+04:00 Dubai,23.823959350585938°C
2023-03-08T09:05:00+04:00 Dubai,23.823959350585938°C
2023-03-08T09:10:00+04:00 Dubai,23.823959350585938°C
2023-03-08T09:15:00+04:00 Dubai,23.972896575927734°C
2023-03-08T09:20:00+04:00 Dubai,23.972896575927734°C
2023-03-08T09:25:00+04:00 Dubai,23.972896575927734°C
2023-03-08T09:30:00+04:00 Dubai,24.121675491333008°C
2023-03-08T09:35:00+04:00 Dubai,24.121675491333008°C
2023-03-08T09:40:00+04:00 Dubai,24.121675491333008°C
2023-03-08T09:45:00+04:00 Dubai,24.121675491333008°C
2023-03-08T09:50:00+04:00 Dubai,24.121675491333008°C
2023-03-08T09:55:00+04:00 Dubai,24.121675491333008°C
2023-03-08T10:00:00+04:00 Dubai,24.121675491333008°C
2023-03-08T10:05:00+04:00 Dubai,24.121675491333008°C
2023-03-08T10:10:00+04:00 Dubai,24.121675491333008°C
2023-03-08T10:15:00+04:00 Dubai,24.121675491333008°C
2023-03-08T10:20:00+04:00 Dubai,24.27035140991211°C
2023-03-08T10:25:00+04:00 Dubai,24.27035140991211°C
2023-03-08T10:30:00+04:00 Dubai,24.27035140991211°C
2023-03-08T10:35:00+04:00 Dubai,24.27035140991211°C
2023-03-08T10:40:00+04:00 Dubai,24.27035140991211°C
2023-03-08T10:45:00+04:00 Dubai,24.27035140991211°C
2023-03-08T10:50:00+04:00 Dubai,24.27035140991211°C
2023-03-08T10:55:00+04:00 Dubai,24.27035140991211°C
2023-03-08T11:00:00+04:00 Dubai,24.4200382232666°C
2023-03-08T11:05:00+04:00 Dubai,24.4200382232666°C
2023-03-08T11:10:00+04:00 Dubai,24.4200382232666°C
2023-03-08T11:15:00+04:00 Dubai,24.4200382232666°C
2023-03-08T11:20:00+04:00 Dubai,24.4200382232666°C
2023-03-08T11:25:00+04:00 Dubai,24.4200382232666°C
2023-03-08T11:30:00+04:00 Dubai,24.4200382232666°C
2023-03-08T11:35:00+04:00 Dubai,24.4200382232666°C
2023-03-08T11:40:00+04:00 Dubai,24.4200382232666°C
2023-03-08T11:45:00+04:00 Dubai,24.4200382232666°C
2023-03-08T11:50:00+04:00 Dubai,24.271451950073242°C
2023-03-08T11:55:00+04:00 Dubai,24.271451950073242°C
2023-03-08T12:00:00+04:00 Dubai,24.271451950073242°C
2023-03-08T12:05:00+04:00 Dubai,24.271451950073242°C
2023-03-08T12:10:00+04:00 Dubai,24.271451950073242°C
2023-03-08T12:15:00+04:00 Dubai,24.271451950073242°C
2023-03-08T12:20:00+04:00 Dubai,24.271451950073242°C
2023-03-08T12:25:00+04:00 Dubai,24.122512817382812°C
2023-03-08T12:30:00+04:00 Dubai,24.122512817382812°C
2023-03-08T12:35:00+04:00 Dubai,24.122512817382812°C
2023-03-08T12:40:00+04:00 Dubai,24.122512817382812°C
2023-03-08T12:45:00+04:00 Dubai,24.122512817382812°C
2023-03-08T12:50:00+04:00 Dubai,24.122512817382812°C
2023-03-08T12:55:00+04:00 Dubai,24.122512817382812°C
2023-03-08T13:00:00+04:00 Dubai,24.27130126953125°C
2023-03-08T13:05:00+04:00 Dubai,24.27130126953125°C
2023-03-08T13:10:00+04:00 Dubai,24.27130126953125°C
2023-03-08T13:15:00+04:00 Dubai,24.27130126953125°C
2023-03-08T13:20:00+04:00 Dubai,24.27130126953125°C
2023-03-08T13:25:00+04:00 Dubai,24.27130126953125°C
2023-03-08T13:30:00+04:00 Dubai,24.27130126953125°C
2023-03-08T13:35:00+04:00 Dubai,24.27130126953125°C
2023-03-08T13:40:00+04:00 Dubai,24.27130126953125°C
2023-03-08T13:45:00+04:00 Dubai,24.27130126953125°C
2023-03-08T13:50:00+04:00 Dubai,24.27130126953125°C
2023-03-08T13:55:00+04:00 Dubai,24.27130126953125°C
2023-03-08T14:00:00+04:00 Dubai,24.27130126953125°C
2023-03-08T14:05:00+04:00 Dubai,24.421180725097656°C
2023-03-08T14:10:00+04:00 Dubai,24.421180725097656°C
2023-03-08T14:15:00+04:00 Dubai,24.421180725097656°C
2023-03-08T14:20:00+04:00 Dubai,24.421180725097656°C
2023-03-08T14:25:00+04:00 Dubai,24.421180725097656°C
2023-03-08T14:30:00+04:00 Dubai,24.421180725097656°C
2023-03-08T14:35:00+04:00 Dubai,24.421180725097656°C
2023-03-08T14:40:00+04:00 Dubai,24.421180725097656°C
2023-03-08T14:45:00+04:00 Dubai,24.421180725097656°C
2023-03-08T14:50:00+04:00 Dubai,24.421180725097656°C
2023-03-08T14:55:00+04:00 Dubai,24.421180725097656°C
2023-03-08T15:00:00+04:00 Dubai,24.421180725097656°C
2023-03-08T15:05:00+04:00 Dubai,24.421180725097656°C
2023-03-08T15:10:00+04:00 Dubai,24.421180725097656°C
2023-03-08T15:15:00+04:00 Dubai,24.421180725097656°C
2023-03-08T15:20:00+04:00 Dubai,24.421180725097656°C
2023-03-08T15:25:00+04:00 Dubai,24.421180725097656°C
2023-03-08T15:30:00+04:00 Dubai,24.421180725097656°C
2023-03-08T15:35:00+04:00 Dubai,24.421180725097656°C
2023-03-08T15:40:00+04:00 Dubai,24.421180725097656°C
2023-03-08T15:45:00+04:00 Dubai,24.421180725097656°C
2023-03-08T15:50:00+04:00 Dubai,24.421180725097656°C
2023-03-08T15:55:00+04:00 Dubai,24.421180725097656°C
2023-03-08T16:00:00+04:00 Dubai,24.421180725097656°C
2023-03-08T16:05:00+04:00 Dubai,24.421180725097656°C
2023-03-08T16:10:00+04:00 Dubai,24.421180725097656°C
2023-03-08T16:15:00+04:00 Dubai,24.421180725097656°C
2023-03-08T16:20:00+04:00 Dubai,24.421180725097656°C
2023-03-08T16:25:00+04:00 Dubai,24.421180725097656°C
2023-03-08T16:30:00+04:00 Dubai,24.421180725097656°C
2023-03-08T16:35:00+04:00 Dubai,24.421180725097656°C
2023-03-08T16:40:00+04:00 Dubai,24.421180725097656°C
2023-03-08T16:45:00+04:00 Dubai,24.421180725097656°C
2023-03-08T16:50:00+04:00 Dubai,24.421180725097656°C
2023-03-08T16:55:00+04:00 Dubai,24.421180725097656°C
2023-03-08T17:00:00+04:00 Dubai,24.421180725097656°C
2023-03-08T17:05:00+04:00 Dubai,24.421180725097656°C
2023-03-08T17:10:00+04:00 Dubai,24.421180725097656°C
2023-03-08T17:15:00+04:00 Dubai,24.421180725097656°C
2023-03-08T17:20:00+04:00 Dubai,24.421180725097656°C
2023-03-08T17:25:00+04:00 Dubai,24.421180725097656°C
2023-03-08T17:30:00+04:00 Dubai,24.421180725097656°C
2023-03-08T17:35:00+04:00 Dubai,24.421180725097656°C
2023-03-08T17:40:00+04:00 Dubai,24.421180725097656°C
2023-03-08T17:45:00+04:00 Dubai,24.272642135620117°C
2023-03-08T17:50:00+04:00 Dubai,24.272642135620117°C
2023-03-08T17:55:00+04:00 Dubai,24.272642135620117°C
