Timestamp,DMC Building 1 Fahu_B1 Discharge-Air-Temp-Sensor,DMC Building 1 Fahu_B1 Discharge-Air-Temp-Sp,DMC Building 1 Fahu_B1 Discharge-Chilled-Water-Cool-Valve-Cmd
2024-04-01T07:20:00+04:00 Dubai,23.24547577,22,12.8086
2024-04-01T07:25:00+04:00 Dubai,23.39563751,22,16.7435
2024-04-01T07:30:00+04:00 Dubai,23.39563751,22,19.3801
2024-04-01T07:35:00+04:00 Dubai,23.39563751,22,22.188
2024-04-01T07:40:00+04:00 Dubai,22.79219627,22,23.3188
2024-04-01T07:45:00+04:00 Dubai,22.49283028,22,22.265
2024-04-01T07:50:00+04:00 Dubai,22.34189224,22,22.265
2024-04-01T07:55:00+04:00 Dubai,22.34189224,22,23.3952
2024-04-01T08:00:00+04:00 Dubai,22.18886757,22,23.3952
2024-04-01T08:05:00+04:00 Dubai,22.18886757,22,23.3952
2024-04-01T08:10:00+04:00 Dubai,22.0395298,22,22.3586
2024-04-01T08:15:00+04:00 Dubai,22.0395298,22,23.3851
2024-04-01T08:20:00+04:00 Dubai,22.0395298,22,23.3851
2024-04-01T08:25:00+04:00 Dubai,22.1889801,22,24.4799
2024-04-01T08:30:00+04:00 Dubai,22.1889801,22,24.4799
2024-04-01T08:35:00+04:00 Dubai,22.1889801,22,25.5507
2024-04-01T08:40:00+04:00 Dubai,22.34135437,22,27.6475
2024-04-01T08:45:00+04:00 Dubai,22.34135437,22,28.8413
2024-04-01T08:50:00+04:00 Dubai,22.17875099,22,28.3396
2024-04-01T08:55:00+04:00 Dubai,21.87107086,22,25.7707
2024-04-01T09:00:00+04:00 Dubai,21.7219944,22,25.7707
2024-04-01T09:05:00+04:00 Dubai,21.874897,22,24.6862
2024-04-01T09:10:00+04:00 Dubai,21.874897,22,24.6862
2024-04-01T09:15:00+04:00 Dubai,21.874897,22,24.6862
2024-04-01T09:20:00+04:00 Dubai,21.874897,22,24.6862
2024-04-01T09:25:00+04:00 Dubai,21.874897,22,24.6862
2024-04-01T09:30:00+04:00 Dubai,22.02662849,22,24.6862
2024-04-01T09:35:00+04:00 Dubai,22.02662849,22,24.6862
2024-04-01T09:40:00+04:00 Dubai,22.02662849,22,25.7236
2024-04-01T09:45:00+04:00 Dubai,22.02662849,22,25.7236
2024-04-01T09:50:00+04:00 Dubai,22.3279438,22,28.0862
2024-04-01T09:55:00+04:00 Dubai,22.3279438,22,28.0862
2024-04-01T10:00:00+04:00 Dubai,22.3279438,22,30.211
2024-04-01T10:05:00+04:00 Dubai,22.3279438,22,30.211
2024-04-01T10:10:00+04:00 Dubai,22.3279438,22,31.4714
2024-04-01T10:15:00+04:00 Dubai,22.47933769,22,32.9655
2024-04-01T10:20:00+04:00 Dubai,22.02511215,22,32.859
2024-04-01T10:25:00+04:00 Dubai,22.02511215,22,31.7276
2024-04-01T10:30:00+04:00 Dubai,21.87116432,22,30.496
2024-04-01T10:35:00+04:00 Dubai,22.0197258,22,31.5401
2024-04-01T10:40:00+04:00 Dubai,21.71788025,22,29.4588
2024-04-01T10:45:00+04:00 Dubai,21.71788025,22,28.2013
2024-04-01T10:50:00+04:00 Dubai,21.5650425,22,25.709
2024-04-01T10:55:00+04:00 Dubai,21.57339287,22,24.4114
